date,team_id,home,PPG,RPG,APG,ptsAllowed,wins,losses,winPctL10,pace,toRat,offRebRate,defRebRate,rebRate,effFGpct,trueSP,offEff,defEff,opponent_id,oppPPG,oppRPG,oppAPG,oppptsAllowed,oppwins,opplosses,oppwinPctL10,opppace,opptoRat,oppoffRebRate,oppdefRebRate,opprebRate,oppeffFGpct,opptrueSP,oppoffEff,oppdefEff
2021-04-27,2,0,118.8,44.3,26.8,115.2,41,20,0.5,101.9,12.4,21.9,77.6,51.0,57.4,60.9,116.1,110.8,28,111.9,41.5,24.4,112.4,26,35,0.6,101.8,12.0,20.5,76.0,47.6,53.4,57.3,109.9,109.0
2021-04-27,3,1,111.9,44.3,23.2,111.5,32,29,0.7,100.3,12.8,24.6,77.3,51.2,54.2,57.4,110.8,109.5,21,105.3,45.3,22.3,112.0,20,41,0.0,102.8,14.3,20.5,78.3,49.0,51.5,54.5,101.9,111.1
2021-04-27,4,1,109.9,43.6,26.9,112.7,30,30,0.4,100.7,13.6,23.3,76.8,49.4,53.8,57.0,108.6,110.2,17,119.3,48.2,25.6,112.6,37,23,0.5,104.0,12.2,23.4,80.5,52.7,56.6,59.3,114.3,108.2
2021-04-27,7,0,111.4,43.6,22.5,111.1,33,27,0.5,99.3,11.1,20.6,77.8,49.6,54.7,57.8,112.1,110.4,10,113.1,42.9,27.4,113.0,31,30,0.7,104.5,13.3,18.0,76.1,47.5,54.5,57.8,108.0,108.1
2021-04-27,10,1,113.1,42.9,27.4,113.0,31,30,0.7,104.5,13.3,18.0,76.1,47.5,54.5,57.8,108.0,108.1,7,111.4,43.6,22.5,111.1,33,27,0.5,99.3,11.1,20.6,77.8,49.6,54.7,57.8,112.1,110.4
2021-04-27,11,1,107.7,42.5,23.0,113.6,15,46,0.1,103.3,12.9,19.5,76.9,47.0,51.7,54.9,104.1,111.0,18,110.6,42.9,25.1,117.3,18,44,0.5,103.9,12.5,22.0,75.7,48.2,51.5,55.1,105.7,112.5
2021-04-27,12,1,114.0,42.5,26.8,113.2,29,31,0.6,103.4,11.9,20.4,76.6,47.7,53.7,57.0,109.2,109.3,25,114.4,44.1,20.7,115.5,32,28,0.2,100.7,10.1,23.2,76.3,49.1,53.2,56.9,113.3,114.0
2021-04-27,17,0,119.3,48.2,25.6,112.6,37,23,0.5,104.0,12.2,23.4,80.5,52.7,56.6,59.3,114.3,108.2,4,109.9,43.6,26.9,112.7,30,30,0.4,100.7,13.6,23.3,76.8,49.4,53.8,57.0,108.6,110.2
2021-04-27,18,0,110.6,42.9,25.1,117.3,18,44,0.5,103.9,12.5,22.0,75.7,48.2,51.5,55.1,105.7,112.5,11,107.7,42.5,23.0,113.6,15,46,0.1,103.3,12.9,19.5,76.9,47.0,51.7,54.9,104.1,111.0
2021-04-27,21,0,105.3,45.3,22.3,112.0,20,41,0.0,102.8,14.3,20.5,78.3,49.0,51.5,54.5,101.9,111.1,3,111.9,44.3,23.2,111.5,32,29,0.7,100.3,12.8,24.6,77.3,51.2,54.2,57.4,110.8,109.5
2021-04-27,25,0,114.4,44.1,20.7,115.5,32,28,0.2,100.7,10.1,23.2,76.3,49.1,53.2,56.9,113.3,114.0,12,114.0,42.5,26.8,113.2,29,31,0.6,103.4,11.9,20.4,76.6,47.7,53.7,57.0,109.2,109.3
2021-04-27,28,1,111.9,41.5,24.4,112.4,26,35,0.6,101.8,12.0,20.5,76.0,47.6,53.4,57.3,109.9,109.0,2,118.8,44.3,26.8,115.2,41,20,0.5,101.9,12.4,21.9,77.6,51.0,57.4,60.9,116.1,110.8
